variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi,medida,hemi,familia_fdr,atlas,tipo,modelo,ajusta_etiv,p_fdr,sobrevive_fdr,n_familia
1_comp_thickness_lh,46,"Q('1_comp_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.24091351767674835,2,40,0.7870416713195526,0.8602006952488984,0.7884211578842116,0.01190230458058893,3.065451354954042e-05,0.048094404737066505,0.39144562744396444,0.6982972385922908,0.5609030154738276,19,17,10,2.767667612871746,2.7862645779361888,2.82376045695276,-0.03108201492769469,-0.26877905502055854,-1.3233387153745724,0.8006639743290552,0.5203385755107484,-0.01945206232400898,-0.16821003856444386,-0.8971859756512355,0.6170161301218652,0.6211581949280813,A1,Ínsula posterior,thickness,lh,thickness,DS,C,A_sin_ansiedad,False,0.9412058794120588,False,14
1_comp_thickness_rh,46,"Q('1_comp_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.21674915107053314,2,40,0.8060713122984688,0.8748474745799621,0.8112188781121887,0.010721266285240309,2.093822643585603e-05,0.040603461825100745,0.4485900056430725,0.510468815017575,0.46049910879834166,19,17,10,2.8528683128881704,2.8528447077426624,2.920003936466313,-0.026016532773738055,-0.22943900041041435,-1.2819007534545244,0.6484828921932926,0.5829203800808767,0.003421686997227391,0.030175752133798507,-0.6465189642087458,0.7190231647622688,0.9292485010037684,A1,Ínsula posterior,thickness,rh,thickness,DS,C,A_sin_ansiedad,False,0.9412058794120588,False,14
1_comp_area_lh,46,"Q('1_comp_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.8201334403933946,2,39,0.17549773248848183,0.24790524465437186,0.1718828117188281,0.0853715782540529,0.0005267561922596078,0.24359318801373853,0.3283792509331445,0.8731217650209676,0.8898599853670242,19,17,10,1631.8823529411766,1688.8947368421052,1694.6,14.005667829729532,0.1564070839235402,-0.8038921893151855,0.9962682402058909,0.7101202877885026,-46.45448475790319,-0.5187764399731944,-1.1998647602542203,0.3342985506392119,0.13362262254707458,A1,Ínsula posterior,area,lh,area,DS,C,A_sin_ansiedad,True,0.6547345265473453,False,14
1_comp_area_rh,46,"Q('1_comp_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.145334920962223,2,39,0.3285846224304057,0.43755322364944194,0.32566743325667435,0.05547669366212646,0.00018806208757808247,0.18854439896921626,0.6622546296616458,0.6280848839626413,0.7512331514036625,19,17,10,1362.235294117647,1391.157894736842,1376.7,31.83593040366401,0.32861478033373775,-0.56505179343488,1.2733484207645005,0.43623282805046215,-27.340353887785653,-0.28221083138337655,-0.9053286166642858,0.5469823384181931,0.40972985971714854,A1,Ínsula posterior,area,rh,area,DS,C,A_sin_ansiedad,True,0.6547345265473453,False,14
1_comp_volume_lh,46,"Q('1_comp_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.0166224777767505,2,39,0.37120217473622635,0.34317811901468065,0.3628637136286371,0.0495511616923272,9.679914472923544e-05,0.15115040044021053,0.1752198542503574,0.633243182435467,0.5092383243319121,19,17,10,3833.0,3992.7894736842104,4136.6,-92.12230186651254,-0.3378388994903722,-1.3753995340540368,0.6450464937965777,0.42356787878058844,-129.95221864851936,-0.4765720530753172,-1.1084347159941155,0.2530120153210798,0.1672697090434721,A1,Ínsula posterior,volume,lh,volume,DS,C,A_sin_ansiedad,True,0.7257274272572742,False,16
1_comp_volume_rh,46,"Q('1_comp_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.4241887970797425,2,39,0.6572828166067898,0.7237436177889651,0.652934706529347,0.02129014141553985,2.986521707573145e-05,0.08549706029078305,0.5913486645408683,0.21904562566167246,0.6138295440084748,19,17,10,3361.1176470588234,3434.0,3502.8,35.988973651649076,0.1312897716318034,-0.861585039910644,1.0619315293690847,0.7549745565956714,-60.221088310455656,-0.21968986968696458,-0.8486689440654183,0.5332409887222974,0.5203218638378357,A1,Ínsula posterior,volume,rh,volume,DS,C,A_sin_ansiedad,True,0.8953771289537713,False,16
1_comp_LGI_lh,45,"Q('1_comp_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",3.632272841997463,2,39,0.03576168327434965,0.04824683026945321,0.0370962903709629,0.15702187445251564,0.003629572258077245,0.3492036857024765,0.1970569364290941,0.4710969275265933,0.9952934606353809,18,17,10,3.9732834993392627,4.143108244307357,4.08040548726716,-0.03569748257958377,-0.17511695767491797,-1.0578388540943067,0.8140834673664641,0.6749712818952978,-0.18070598167374816,-0.8864681612720947,-1.5770661818497227,-0.00026552958401088525,0.013293758471876306,A1,Ínsula posterior,LGI,lh,LGI,DS,C,A_sin_ansiedad,False,0.1411858814118588,False,14
1_comp_LGI_rh,45,"Q('1_comp_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",4.555353420759877,2,39,0.016674236379718724,0.027654975632532563,0.0187981201879812,0.18936963182709202,0.015688732233642182,0.36197111307622887,0.15138509528742308,0.15778977930274712,0.37798637574709054,18,17,10,4.023037840423349,4.221812744518153,4.174484729342043,-0.05251635518931075,-0.26526286080875605,-1.1955949337710565,0.7738100780493956,0.5259072280885541,-0.19934757197969463,-1.0069150276707775,-1.5960333042946728,-0.20113094843943355,0.00540018593254619,A1,Ínsula posterior,LGI,rh,LGI,DS,C,A_sin_ansiedad,False,0.1411858814118588,False,14
2_supramarginal_thickness_lh,46,"Q('2_supramarginal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.13604062501324857,2,40,0.873209271806982,0.9048301339103342,0.8696130386961304,0.006756076209155893,6.671373273167937e-06,0.02310191018005687,0.8438572752392033,0.9528886420270721,0.5120701577146728,19,17,10,2.6505294117647056,2.6411052631578946,2.6463,0.022195519211251957,0.20696167744761682,-0.7826346361163342,1.0887415535718827,0.6202446177535559,0.012581899328206969,0.11731967004956034,-0.6268280759401254,0.8887080576529665,0.7301214088788135,A1,Giro supramarginal,thickness,lh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
2_supramarginal_thickness_rh,46,"Q('2_supramarginal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.06929429829787927,2,40,0.9331637985842628,0.9415810923073484,0.9374062593740626,0.003452752113150101,4.4997178624295276e-05,0.006531069921930423,0.810007598614445,0.8749870743247825,0.6611107477539216,19,17,10,2.6468823529411765,2.6676315789473684,2.6805,-0.008035684657705211,-0.07827348563941004,-1.0686351253086421,0.824094831971313,0.8511509541747156,-0.012847323856786552,-0.1251423944871684,-0.8305969561901418,0.6310796462787068,0.7129271212450319,A1,Giro supramarginal,thickness,rh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
2_supramarginal_area_lh,46,"Q('2_supramarginal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.3804356454359745,2,39,0.6860723715925124,0.7048419668154678,0.6836316368363163,0.01913618253749447,5.1388500876729724e-05,0.07122223477555192,0.7191179019792436,0.6847061979539988,0.0573098224602038,19,17,10,3644.0,3834.157894736842,3913.1,3.435229765292661,0.007184807493925582,-1.0082813315255212,1.2432063227190748,0.986365103102166,-126.5026894086788,-0.26458127489698885,-0.8824929563015219,0.4135612700412093,0.4393560059949416,A1,Giro supramarginal,area,lh,area,DKT,C,A_sin_ansiedad,True,0.9570842915708428,False,14
2_supramarginal_area_rh,46,"Q('2_supramarginal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.5115175863058505,2,39,0.233214318385684,0.2570762178600379,0.23007699230076992,0.07193757329032599,0.00013470413084811888,0.19962781837190982,0.5155221651035584,0.7228189394153182,0.4480029489069749,19,17,10,3363.9411764705883,3605.3684210526317,3505.0,55.24263202716634,0.14357511417055496,-0.7580351432520849,1.277470932082271,0.732916930301713,-181.70095540474534,-0.47223918303360746,-1.0664915516971685,0.30097532226704177,0.17106950919192832,A1,Giro supramarginal,area,rh,area,DKT,C,A_sin_ansiedad,True,0.6547345265473453,False,14
2_supramarginal_volume_lh,46,"Q('2_supramarginal_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.5528601172114085,2,39,0.5797444469095282,0.7047093160085739,0.5738426157384262,0.027570137824722948,6.732833251446032e-05,0.10721174098956587,0.6873133427912319,0.4486990558308506,0.103106734191028,19,17,10,10072.64705882353,10534.052631578947,10622.9,286.94316888084995,0.22166467889374114,-0.7196379649254034,1.3792830420336788,0.5986781903737703,-260.55381532426077,-0.20127880386089195,-0.8215154813875141,0.5176449451256637,0.5557083064847806,A1,Giro supramarginal,volume,lh,volume,DKT,C,A_sin_ansiedad,True,0.8953771289537713,False,16
2_supramarginal_volume_rh,46,"Q('2_supramarginal_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.6028362803402456,2,39,0.21430324343779933,0.2854031473115729,0.21357864213578642,0.0759535950072017,0.0003066462769139699,0.21748797185108093,0.37273929543357043,0.3656369826526539,0.3092623576237298,19,17,10,9266.235294117647,10013.736842105263,9699.4,208.25167021203515,0.17162493444316185,-0.866650650233435,1.1781733868436763,0.6834317352456039,-575.4656626249246,-0.474254331414172,-1.0865889058601637,0.38137847683483084,0.16929400968549396,A1,Giro supramarginal,volume,rh,volume,DKT,C,A_sin_ansiedad,True,0.6820651268206513,False,16
2_supramarginal_LGI_lh,45,"Q('2_supramarginal_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",2.8305706104409736,2,39,0.07114238460907213,0.05713287519672143,0.0705929407059294,0.1267576480610621,0.0024706403536655943,0.2780138164478548,0.15955218358737364,0.1449116261041044,0.20583364872886126,18,17,10,3.282705882352941,3.397444444444444,3.3521,-0.06389095365066086,-0.45701461739856875,-1.399107259623772,0.5790389399246714,0.2769328662436351,-0.1135324297722482,-0.8121021363743128,-1.4235461683636306,-0.06733901934849541,0.022487879178278655,A1,Giro supramarginal,LGI,lh,LGI,DKT,C,A_sin_ansiedad,False,0.1411858814118588,False,14
2_supramarginal_LGI_rh,45,"Q('2_supramarginal_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",2.8344488161900805,2,39,0.07090188120793149,0.0932887698875305,0.0704929507049295,0.12690927989838768,0.0028766610892954677,0.2930301601168849,0.2465043901423854,0.2899524626246213,0.5040972911886266,18,17,10,3.2535882352941177,3.3644444444444446,3.3177,-0.036575821404169734,-0.2980964707111735,-1.1038632465032252,0.5724439223577338,0.47628644145476096,-0.09904816036231148,-0.8072520561649882,-1.5049414906775178,0.056756029457509044,0.023252017267341607,A1,Giro supramarginal,LGI,rh,LGI,DKT,C,A_sin_ansiedad,False,0.1411858814118588,False,14
3_superiortemporal_thickness_lh,46,"Q('3_superiortemporal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.8055621573183435,2,40,0.4539529247498922,0.37685994894429103,0.45055494450554945,0.03871859607672208,0.0002647807444719078,0.12606131898803272,0.3822557034282786,0.15774102126483602,0.5090447314605687,19,17,10,2.864235294117647,2.878842105263158,2.9491,-0.06690675693612147,-0.5146335661698171,-1.3679349536106093,0.2998272846615289,0.22155180899629195,-0.01255221403788831,-0.09654915242436155,-0.8972848647166035,0.7257272151892754,0.7764412567896156,A1,Temporal superior,thickness,lh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
3_superiortemporal_thickness_rh,46,"Q('3_superiortemporal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.3208257791080753,2,40,0.7273992763140235,0.7751183978551632,0.7219278072192781,0.015788028626175104,1.6727254477227957e-05,0.06115008719108291,0.5168258434130982,0.1253114505353139,0.7122924826896709,19,17,10,2.9121176470588237,2.9322105263157896,2.9908,-0.04260126631241157,-0.3318714591304266,-1.2057871777426892,0.682244572450293,0.42798845241840544,-0.013870481284636083,-0.10805352190745413,-0.8725994099782609,0.6293811757833544,0.7506713427363757,A1,Temporal superior,thickness,rh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
3_superiortemporal_area_lh,46,"Q('3_superiortemporal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.1474765570299001,2,39,0.32792065938687365,0.3021414486245488,0.32736726327367266,0.05557466326989076,0.0005397551553962603,0.1610322242439488,0.1903521095867083,0.0074544222746258755,0.3774742328428968,19,17,10,5157.235294117647,5271.421052631579,5659.7,-219.3067843852732,-0.6327649908040686,-1.3892116903831169,0.14399781022543062,0.13789586473827445,-78.15144846987573,-0.2254900627492229,-0.8574213813509536,0.5144626472531321,0.5094286981842425,A1,Temporal superior,area,lh,area,DKT,C,A_sin_ansiedad,True,0.6547345265473453,False,14
